country,ISO_Alpha_3,survey,year,age_min,age_max,prop_circumcised,ci_lower,ci_upper,num_uncircumcised,num_circumcised
Lesotho,LSO,LS2014DHS,2014,40,44,0.708905295,0.62733685,0.778912102,63.877448,155.561267
Lesotho,LSO,LS2014DHS,2014,45,49,0.737022194,0.646742977,0.810972812,44.243325,123.996443
Lesotho,LSO,LS2014DHS,2014,50,54,0.710498809,0.651102539,0.763456975,77.480051,190.152876
Lesotho,LSO,LS2017PHIA,2017,15,19,0.648,,,352.352,648.648
Lesotho,LSO,LS2017PHIA,2017,20,24,0.737,,,230.125,644.875
Lesotho,LSO,LS2017PHIA,2017,25,29,0.734,,,219.982,607.018
Lesotho,LSO,LS2017PHIA,2017,30,34,0.72,,,195.16,501.84
Lesotho,LSO,LS2017PHIA,2017,35,39,0.67,,,189.09,383.91
Lesotho,LSO,LS2017PHIA,2017,40,44,0.696,,,129.808,297.192
Lesotho,LSO,LS2017PHIA,2017,45,49,0.657,,,120.736,231.264
Lesotho,LSO,LS2017PHIA,2017,50,54,0.641743842,,,218.178,390.822
Mozambique,MOZ,MZ2003DHS,2003,15,19,0.527665461,0.476876168,0.57788847,315.791266,352.784161
Mozambique,MOZ,MZ2003DHS,2003,20,24,0.609847063,0.546661428,0.669549538,156.521672,244.658627
Mozambique,MOZ,MZ2003DHS,2003,25,29,0.618981396,0.55243288,0.681342575,142.762745,231.924327
Mozambique,MOZ,MZ2003DHS,2003,30,34,0.59848186,0.531300784,0.66215667,131.967553,196.703906
Mozambique,MOZ,MZ2003DHS,2003,35,39,0.647461797,0.570376156,0.717565096,93.397399,171.531049
Mozambique,MOZ,MZ2003DHS,2003,40,44,0.652268015,0.568453224,0.727604766,76.559185,143.608037
Mozambique,MOZ,MZ2003DHS,2003,45,49,0.639887079,0.558297768,0.71412261,79.588762,141.421808
Mozambique,MOZ,MZ2003DHS,2003,50,54,0.661998875,0.601301181,0.717792844,138.648957,271.553692
Mozambique,MOZ,MZ2009AIS,2009,15,19,0.397553719,0.325597831,0.474229552,541.942787,357.627522
Mozambique,MOZ,MZ2009AIS,2009,20,24,0.49607274,0.414796807,0.577556758,343.216619,337.867034
Mozambique,MOZ,MZ2009AIS,2009,25,29,0.522625299,0.436700699,0.607231358,315.541627,345.451983
Mozambique,MOZ,MZ2009AIS,2009,30,34,0.523819022,0.449535216,0.597063695,297.737227,327.523421
Mozambique,MOZ,MZ2009AIS,2009,35,39,0.590132568,0.488345768,0.684742316,222.711195,320.662534
Mozambique,MOZ,MZ2009AIS,2009,40,44,0.581994658,0.498819154,0.660754316,155.516422,216.52768
Mozambique,MOZ,MZ2009AIS,2009,45,49,0.623939873,0.540799289,0.700367634,141.341422,234.506513
Mozambique,MOZ,MZ2011DHS,2011,15,19,0.36248643,0.316064529,0.411623035,563.833232,320.592228
Mozambique,MOZ,MZ2011DHS,2011,20,24,0.440337827,0.387811865,0.494234523,355.114912,279.401639
Mozambique,MOZ,MZ2011DHS,2011,25,29,0.526382353,0.474612263,0.577591343,259.238842,288.120074
Mozambique,MOZ,MZ2011DHS,2011,30,34,0.490242938,0.432706055,0.548039492,238.37862,229.253195
Mozambique,MOZ,MZ2011DHS,2011,35,39,0.546864614,0.479324874,0.612721947,206.144256,248.784364
Mozambique,MOZ,MZ2011DHS,2011,40,44,0.50334303,0.426252885,0.580274557,130.94377,132.706552
Mozambique,MOZ,MZ2011DHS,2011,45,49,0.634734167,0.557001113,0.706026216,94.468648,164.161203
Mozambique,MOZ,MZ2011DHS,2011,50,54,0.553262767,0.497340561,0.607868854,233.827985,289.584813
Mozambique,MOZ,MZ2015AIS,2015,15,19,0.683586314,0.642831667,0.721703877,347.457562,750.654111
Mozambique,MOZ,MZ2015AIS,2015,20,24,0.633377052,0.587498674,0.676958545,327.587461,565.939425
Mozambique,MOZ,MZ2015AIS,2015,25,29,0.60276953,0.553552494,0.649991488,274.556739,416.6207
Mozambique,MOZ,MZ2015AIS,2015,30,34,0.588790932,0.536677404,0.638985857,276.839607,396.393619
Mozambique,MOZ,MZ2015AIS,2015,35,39,0.602368814,0.537556859,0.663778663,201.780178,305.675437
Mozambique,MOZ,MZ2015AIS,2015,40,44,0.604902772,0.543603891,0.663071472,188.592295,288.739059
Mozambique,MOZ,MZ2015AIS,2015,45,49,0.625792253,0.561302203,0.68610368,140.708044,235.307806
Mozambique,MOZ,MZ2015AIS,2015,50,54,0.642404697,0.590326697,0.691324133,198.908047,357.329815
Malawi,MWI,MW2004DHS,2004,15,19,0.189566166,0.151343216,0.234772085,512.068279,119.776367
Malawi,MWI,MW2004DHS,2004,20,24,0.176367816,0.143915087,0.214306651,469.036003,100.436647
Malawi,MWI,MW2004DHS,2004,25,29,0.213357006,0.169665485,0.264712851,482.758433,130.936009
Malawi,MWI,MW2004DHS,2004,30,34,0.219308353,0.178323018,0.26665662,366.691232,103.009236
Malawi,MWI,MW2004DHS,2004,35,39,0.252456761,0.197403326,0.316803465,217.474826,73.444568
Malawi,MWI,MW2004DHS,2004,40,44,0.272778548,0.212151418,0.343184298,199.194406,74.717214
Malawi,MWI,MW2004DHS,2004,45,49,0.224522407,0.164940175,0.297948393,139.941966,40.517105
Malawi,MWI,MW2004DHS,2004,50,54,0.221064272,0.161635722,0.294663167,113.294766,32.153391
Malawi,MWI,MW2010DHS,2010,15,19,0.217797475,0.18528209,0.254238377,1365.459383,380.200263
Malawi,MWI,MW2010DHS,2010,20,24,0.222125611,0.189729628,0.258289854,963.033921,274.998767
Malawi,MWI,MW2010DHS,2010,25,29,0.183073784,0.152486923,0.218216253,896.335336,200.869428
Malawi,MWI,MW2010DHS,2010,30,34,0.213044069,0.179277772,0.251223398,745.574028,201.841194
Malawi,MWI,MW2010DHS,2010,35,39,0.240521097,0.193268041,0.295101168,605.367877,191.715326
Malawi,MWI,MW2010DHS,2010,40,44,0.215158655,0.174727802,0.261975144,414.349451,113.590946
Malawi,MWI,MW2010DHS,2010,45,49,0.21997728,0.172399811,0.276301212,355.923907,100.375503
Malawi,MWI,MW2010DHS,2010,50,54,0.2417721,0.188027353,0.3051065,270.405816,86.222865
Malawi,MWI,MW2015DHS,2015,15,19,0.286883013,0.258240193,0.317343593,1291.074299,519.392038
Malawi,MWI,MW2015DHS,2015,20,24,0.295835339,0.264985787,0.328670406,989.463034,415.695573
Malawi,MWI,MW2015DHS,2015,25,29,0.301925957,0.263149237,0.343751015,713.361287,308.537885
Malawi,MWI,MW2015DHS,2015,30,34,0.268243968,0.233320368,0.306306496,676.992761,248.169084
Malawi,MWI,MW2015DHS,2015,35,39,0.255327014,0.218617381,0.29586679,656.867549,225.221047
Malawi,MWI,MW2015DHS,2015,40,44,0.252324505,0.21336091,0.295728581,466.209961,157.335901
Malawi,MWI,MW2015DHS,2015,45,49,0.244427782,0.198776016,0.29668184,339.708648,109.895824
Malawi,MWI,MW2015DHS,2015,50,54,0.297679898,0.24389955,0.357708621,244.301499,103.54772
Malawi,MWI,MW2016PHIA,2016,15,19,0.322,,,1139.04,540.96
Malawi,MWI,MW2016PHIA,2016,20,24,0.335,,,923.685,465.315
Malawi,MWI,MW2016PHIA,2016,25,29,0.277,,,809.76,310.24
Malawi,MWI,MW2016PHIA,2016,30,34,0.277,,,730.23,279.77
Malawi,MWI,MW2016PHIA,2016,35,39,0.307,,,607.761,269.239
Malawi,MWI,MW2016PHIA,2016,40,44,0.283,,,506.202,199.798
Malawi,MWI,MW2016PHIA,2016,45,49,0.274,,,363.726,137.274
Malawi,MWI,MW2016PHIA,2016,50,54,0.290577423,,,710.132,290.868
Namibia,NAM,NM2006DHS,2006,15,19,0.165918425,0.129047998,0.210773799,758.423786,150.868313
Namibia,NAM,NM2006DHS,2006,20,24,0.218667782,0.178867946,0.264471164,586.284626,164.080728
Namibia,NAM,NM2006DHS,2006,25,29,0.216730671,0.170713412,0.271097244,549.468548,152.037981
Namibia,NAM,NM2006DHS,2006,30,34,0.262040813,0.211212496,0.320136568,432.347926,153.521772
Namibia,NAM,NM2006DHS,2006,35,39,0.187114466,0.146337287,0.236111536,325.285266,74.875953
Namibia,NAM,NM2006DHS,2006,40,44,0.240842362,0.192675165,0.296626717,250.485903,79.466521
Namibia,NAM,NM2006DHS,2006,45,49,0.198994871,0.142851862,0.270246166,187.145688,46.492876
